ID,Treatment,Day,Replicate,Egg_size
2,DRO,4,1,0.001427
2,DRO,4,2,0.001496
2,DRO,4,3,0.0016
3,F,4,1,0.001625
3,F,4,2,0.001598
3,F,4,3,0.001706
4,DR,4,1,0.001469
4,DR,4,2,0.001428
4,DR,4,3,0.001565
5,FO,4,1,0.001794
5,FO,4,2,0.001873
5,FO,4,3,0.001809
6,F,4,1,0.00169
6,F,4,2,0.001611
6,F,4,3,0.001749
7,DRO,4,1,0.001412
7,DRO,4,2,0.001359
7,DRO,4,3,0.001425
8,FO,4,1,0.001535
8,FO,4,2,0.001745
8,FO,4,3,0.0019
9,DR,4,1,0.001622
9,DR,4,2,0.001375
9,DR,4,3,0.001496
10,F,4,1,0.001421
10,F,4,2,0.00154
10,F,4,3,0.00161
11,DR,4,1,0.001524
11,DR,4,2,0.001637
11,DR,4,3,0.001608
12,DRO,4,1,0.001603
12,DRO,4,2,0.001573
12,DRO,4,3,0.001395
13,F,4,1,0.001243
14,DRO,4,1,0.00153
14,DRO,4,2,0.001446
14,DRO,4,3,0.00144
15,DR,4,1,0.001536
15,DR,4,2,0.001493
15,DR,4,3,0.001433
16,DR,4,1,0.001462
16,DR,4,2,0.001629
16,DR,4,3,0.001522
17,FO,4,1,0.001831
17,FO,4,2,0.001698
17,FO,4,3,0.001623
18,F,4,1,0.001764
18,F,4,2,0.001617
18,F,4,3,0.001764
19,F,4,1,0.001571
19,F,4,2,0.001832
19,F,4,3,0.001797
20,DRO,4,1,0.00156
20,DRO,4,2,0.001454
20,DRO,4,3,0.001635
21,F,4,1,0.001788
21,F,4,2,0.001417
21,F,4,3,0.001678
22,FO,4,1,0.001589
22,FO,4,2,0.00165
22,FO,4,3,0.001579
23,DRO,4,1,0.001462
23,DRO,4,2,0.001608
23,DRO,4,3,0.001512
24,F,4,1,0.001309
24,F,4,2,0.001509
25,F,4,3,0.00144
25,DR,4,1,0.001504
25,DR,4,2,0.001386
26,DRO,4,1,0.001493
26,DRO,4,2,0.001619
26,DRO,4,3,0.001487
27,F,4,1,0.001766
27,F,4,2,0.001613
28,F,4,1,0.001831
28,F,4,2,0.001938
28,F,4,3,0.001651
29,F,4,1,0.001773
29,F,4,2,0.001767
29,F,4,3,0.001762
30,DRO,4,1,0.00141
30,DRO,4,2,0.001498
30,DRO,4,3,0.001435
31,F,4,1,0.001365
31,F,4,2,0.001449
31,F,4,3,0.00154
32,DRO,4,1,0.001543
32,DRO,4,2,0.001368
32,DRO,4,3,0.001413
33,F,4,1,0.001421
33,F,4,2,0.001441
33,F,4,3,0.001369
34,FO,4,1,0.001571
34,FO,4,2,0.001507
34,FO,4,3,0.001721
35,FO,4,1,0.001651
35,FO,4,2,0.00149
35,FO,4,3,0.001451
36,DRO,4,1,0.001465
36,DRO,4,2,0.00165
36,DRO,4,3,0.001559
37,F,4,1,0.001484
37,F,4,2,0.001621
37,F,4,3,0.001752
38,FO,4,1,0.00162
38,FO,4,2,0.001678
38,FO,4,3,0.001677
39,DR,4,1,0.001507
39,DR,4,2,0.001487
39,DR,4,3,0.001507
40,DR,4,1,0.001521
40,DR,4,2,0.001504
40,DR,4,3,0.001407
41,F,4,1,0.001861
41,F,4,2,0.001597
41,F,4,3,0.001591
42,DRO,4,1,0.001494
42,DRO,4,2,0.001635
42,DRO,4,3,0.001523
43,DR,4,1,0.001575
43,DR,4,2,0.001622
43,DR,4,3,0.001839
44,FO,4,1,0.001562
44,FO,4,2,0.001675
44,FO,4,3,0.001471
45,FO,4,1,0.001808
45,FO,4,2,0.001462
46,F,4,1,0.001531
46,F,4,2,0.001463
46,F,4,3,0.001802
47,DR,4,1,0.001668
47,DR,4,2,0.001788
47,DR,4,3,0.001651
48,F,4,1,0.001418
48,F,4,2,0.001665
48,F,4,3,0.001717
49,FO,4,1,0.001591
49,FO,4,2,0.001709
49,FO,4,3,0.001747
50,FO,4,1,0.001584
50,FO,4,2,0.001517
50,FO,4,3,0.001589
51,DR,4,1,0.001428
51,DR,4,2,0.001451
51,DR,4,3,0.001579
52,DR,4,1,0.001334
52,DR,4,2,0.001597
52,DR,4,3,0.001338
53,DR,4,1,0.001372
53,DR,4,2,0.001383
53,DR,4,3,0.001401
54,FO,4,1,0.002002
54,FO,4,2,0.001977
54,FO,4,3,0.001953
55,FO,4,1,0.001539
55,FO,4,2,0.001779
55,FO,4,3,0.001652
56,DR,4,1,0.001653
56,DR,4,2,0.001854
56,DR,4,3,0.001689
57,DRO,4,1,0.001409
57,DRO,4,2,0.001534
57,DRO,4,3,0.001592
58,DRO,4,1,0.001618
58,DRO,4,2,0.001633
58,DRO,4,3,0.001508
59,DRO,4,1,0.001404
59,DRO,4,2,0.00146
59,DRO,4,3,0.001483
60,DRO,4,1,0.001519
60,DRO,4,2,0.001504
60,DRO,4,3,0.001518
61,FO,4,1,0.001578
61,FO,4,2,0.001439
61,FO,4,3,0.001408
62,DR,4,1,0.00149
62,DR,4,2,0.001559
62,DR,4,3,0.001499
63,F,4,1,0.001749
63,F,4,2,0.001718
64,FO,4,1,0.001943
64,FO,4,2,0.001601
64,FO,4,3,0.001423
65,DRO,4,1,0.001336
65,DRO,4,2,0.001406
65,DRO,4,3,0.001244
66,DRO,4,1,0.001664
66,DRO,4,2,0.001554
66,DRO,4,3,0.001616
67,DRO,4,1,0.00172
67,DRO,4,2,0.001788
67,DRO,4,3,0.001711
68,F,4,1,0.001522
68,F,4,2,0.001639
68,F,4,3,0.001407
69,DR,4,1,0.00146
69,DR,4,2,0.001553
69,DR,4,3,0.001515
70,DRO,4,1,0.001659
70,DRO,4,2,0.001566
70,DRO,4,3,0.001629
71,DR,4,1,0.001563
71,DR,4,2,0.001683
71,DR,4,3,0.001493
72,FO,4,1,0.001797
72,FO,4,2,0.001547
72,FO,4,3,0.001851
73,DR,4,1,0.001449
73,DR,4,2,0.001583
73,DR,4,3,0.001567
74,FO,4,1,0.001778
74,FO,4,2,0.001698
74,FO,4,3,0.001849
75,DRO,4,1,0.001688
75,DRO,4,2,0.001528
75,DRO,4,3,0.001466
76,FO,4,1,0.001355
76,FO,4,2,0.001384
76,FO,4,3,0.001413
77,FO,4,1,0.001652
77,FO,4,2,0.001757
77,FO,4,3,0.001742
78,DR,4,1,0.001487
78,DR,4,2,0.001437
78,DR,4,3,0.00135
79,FO,4,1,0.001788
79,FO,4,2,0.001831
79,FO,4,3,0.001823
80,F,4,1,0.00172
80,F,4,2,0.001623
80,F,4,3,0.001674
81,DR,4,1,0.001473
81,DR,4,2,0.001618
81,DR,4,3,0.001487
83,DR,4,1,0.001595
83,DR,4,2,0.001551
83,DR,4,3,0.00154
84,DR,4,1,0.001553
84,DR,4,2,0.001567
84,DR,4,3,0.001491
85,DRO,4,1,0.00165
85,DRO,4,2,0.001581
85,DRO,4,3,0.001615
86,FO,4,1,0.001582
86,FO,4,2,0.001669
87,DR,4,1,0.001376
87,DR,4,2,0.001621
87,DR,4,3,0.001429
88,DRO,4,1,0.001855
88,DRO,4,2,0.001884
88,DRO,4,3,0.001674
89,F,4,1,0.001505
89,F,4,2,0.001558
89,F,4,3,0.00153
90,DRO,4,1,0.001518
90,DRO,4,2,0.001458
90,DRO,4,3,0.001581
91,F,4,1,0.001572
91,F,4,2,0.001523
91,F,4,3,0.001583
92,DRO,4,1,0.001557
92,DRO,4,2,0.001573
92,DRO,4,3,0.001508
93,F,4,1,0.001983
93,F,4,2,0.002027
94,DRO,4,1,0.001418
94,DRO,4,2,0.001571
94,DRO,4,3,0.001527
95,FO,4,1,0.001612
95,FO,4,2,0.001631
95,FO,4,3,0.001635
96,F,4,1,0.001459
96,F,4,2,0.001407
96,F,4,3,0.001365
97,DR,4,1,0.001524
97,DR,4,2,0.001539
97,DR,4,3,0.001483
98,FO,4,1,0.001577
98,FO,4,2,0.001687
98,FO,4,3,0.001626
99,FO,4,1,0.00147
99,FO,4,2,0.001644
99,FO,4,3,0.001832
100,DR,4,1,0.001472
100,DR,4,2,0.001418
100,DR,4,3,0.001559
2,DRO,2,1,0.001661
2,DRO,2,2,0.001566
2,DRO,2,3,0.001513
3,F,2,1,0.00156
3,F,2,2,0.001653
3,F,2,3,0.00158
4,DR,2,1,0.001279
4,DR,2,2,0.001117
4,DR,2,3,0.001552
5,FO,2,1,0.001736
5,FO,2,2,0.001728
5,FO,2,3,0.001992
6,F,2,1,0.001795
6,F,2,2,0.001871
6,F,2,3,0.001651
7,DRO,2,1,0.001319
7,DRO,2,2,0.001447
7,DRO,2,3,0.001323
8,FO,2,1,0.001679
8,FO,2,2,0.0017
8,FO,2,3,0.001501
9,DR,2,1,0.001454
9,DR,2,2,0.001428
9,DR,2,3,0.001391
10,F,2,1,0.001448
10,F,2,2,0.001526
11,DR,2,1,0.001445
11,DR,2,2,0.001344
11,DR,2,3,0.001456
12,DRO,2,1,0.00122
12,DRO,2,2,0.001402
13,F,2,1,0.001452
13,F,2,2,0.001472
13,F,2,3,0.001472
14,DRO,2,1,0.001304
14,DRO,2,2,0.001554
14,DRO,2,3,0.00155
15,DR,2,1,0.001296
15,DR,2,2,0.001503
15,DR,2,3,0.00133
16,DR,2,1,0.001602
16,DR,2,2,0.001434
16,DR,2,3,0.001538
17,FO,2,1,0.001396
17,FO,2,2,0.001504
17,FO,2,3,0.001593
18,F,2,1,0.001745
18,F,2,2,0.00163
18,F,2,3,0.001707
19,F,2,1,0.001517
19,F,2,2,0.001525
19,F,2,3,0.001599
20,DRO,2,1,0.00155
20,DRO,2,2,0.001458
20,DRO,2,3,0.00148
21,F,2,1,0.0017
21,F,2,2,0.001647
21,F,2,3,0.00153
22,FO,2,1,0.001443
22,FO,2,2,0.001637
22,FO,2,3,0.001686
23,DRO,2,1,0.001452
23,DRO,2,2,0.001538
23,DRO,2,3,0.001617
24,F,2,1,0.001605
24,F,2,2,0.001463
24,F,2,3,0.001615
25,DR,2,1,0.001581
25,DR,2,2,0.001617
25,DR,2,3,0.00128
26,DRO,2,1,0.001606
26,DRO,2,2,0.001616
26,DRO,2,3,0.001769
27,F,2,1,0.001618
27,F,2,2,0.001789
27,F,2,3,0.001517
28,F,2,1,0.001624
28,F,2,2,0.00177
28,F,2,3,0.00177
29,F,2,1,0.001788
29,F,2,2,0.001785
29,F,2,3,0.001803
30,DRO,2,1,0.001189
30,DRO,2,2,0.001665
30,DRO,2,3,0.00153
31,F,2,1,0.001801
31,F,2,2,0.001777
31,F,2,3,0.001683
32,DRO,2,1,0.001689
32,DRO,2,2,0.00155
32,DRO,2,3,0.00151
33,F,2,1,0.00177
33,F,2,2,0.001551
33,F,2,3,0.001631
34,FO,2,1,0.001727
34,FO,2,2,0.001418
34,FO,2,3,0.001514
35,FO,2,1,0.001565
35,FO,2,2,0.001533
35,FO,2,3,0.001767
36,DRO,2,1,0.001062
36,DRO,2,2,0.001278
36,DRO,2,3,0.00118
37,F,2,1,0.001744
37,F,2,2,0.001704
37,F,2,3,0.001741
38,FO,2,1,0.001706
38,FO,2,2,0.001642
38,FO,2,3,0.001773
39,DR,2,1,0.00168
39,DR,2,2,0.001353
39,DR,2,3,0.001511
40,DR,2,1,0.001595
40,DR,2,2,0.001874
40,DR,2,3,0.001617
41,F,2,1,0.001597
41,F,2,2,0.001684
41,F,2,3,0.001768
42,DRO,2,1,0.001614
42,DRO,2,2,0.001551
42,DRO,2,3,0.001533
43,DR,2,1,0.00172
43,DR,2,2,0.001691
43,DR,2,3,0.001857
44,FO,2,1,0.001625
44,FO,2,2,0.001573
44,FO,2,3,0.001561
45,FO,2,1,0.001716
45,FO,2,2,0.001718
45,FO,2,3,0.001858
46,F,2,1,0.00166
46,F,2,2,0.001549
46,F,2,3,0.001712
47,DR,2,1,0.001511
47,DR,2,2,0.001493
47,DR,2,3,0.001574
48,F,2,1,0.001591
48,F,2,2,0.00169
48,F,2,3,0.001457
49,FO,2,1,0.001596
49,FO,2,2,0.001766
49,FO,2,3,0.001658
50,FO,2,1,0.001678
50,FO,2,2,0.001773
50,FO,2,3,0.001584
51,DR,2,1,0.001566
51,DR,2,2,0.001059
51,DR,2,3,0.001131
52,DR,2,1,0.001724
52,DR,2,2,0.001673
52,DR,2,3,0.001479
54,FO,2,1,0.001582
54,FO,2,2,0.001691
54,FO,2,3,0.001577
55,FO,2,1,0.001584
55,FO,2,2,0.001687
55,FO,2,3,0.001654
56,DR,2,1,0.001541
56,DR,2,2,0.001653
56,DR,2,3,0.001564
57,DRO,2,1,0.001601
57,DRO,2,2,0.001652
57,DRO,2,3,0.001647
58,DRO,2,1,0.001515
58,DRO,2,2,0.001629
58,DRO,2,3,0.00166
59,DRO,2,1,0.001698
59,DRO,2,2,0.001523
59,DRO,2,3,0.001512
60,DRO,2,1,0.000948
60,DRO,2,2,0.000902
60,DRO,2,3,0.000896
61,FO,2,1,0.00152
61,FO,2,2,0.001543
61,FO,2,3,0.001532
62,DR,2,1,0.001492
62,DR,2,2,0.00163
62,DR,2,3,0.001555
63,F,2,1,0.001722
63,F,2,2,0.001607
63,F,2,3,0.001622
64,FO,2,1,0.001575
64,FO,2,2,0.001579
64,FO,2,3,0.001634
65,DRO,2,1,0.001547
65,DRO,2,2,0.001619
65,DRO,2,3,0.001642
66,DRO,2,1,0.001465
66,DRO,2,2,0.001561
66,DRO,2,3,0.001651
68,F,2,1,0.001651
68,F,2,2,0.001671
68,F,2,3,0.00159
69,DR,2,1,0.00141
69,DR,2,2,0.001347
70,DRO,2,1,0.001525
70,DRO,2,2,0.001473
70,DRO,2,3,0.00151
71,DR,2,1,0.001315
71,DR,2,2,0.001467
71,DR,2,3,0.001144
72,FO,2,1,0.001635
72,FO,2,2,0.001529
72,FO,2,3,0.00156
73,DR,2,1,0.001451
73,DR,2,2,0.001603
73,DR,2,3,0.00149
74,FO,2,1,0.001632
74,FO,2,2,0.001666
74,FO,2,3,0.001649
75,DRO,2,1,0.001731
75,DRO,2,2,0.001641
75,DRO,2,3,0.00171
76,FO,2,1,0.001663
76,FO,2,2,0.001554
76,FO,2,3,0.001544
77,FO,2,1,0.001526
77,FO,2,2,0.001603
77,FO,2,3,0.001612
78,DR,2,1,0.00194
78,DR,2,2,0.001663
78,DR,2,3,0.001706
79,FO,2,1,0.00181
79,FO,2,2,0.002119
79,FO,2,3,0.001851
80,F,2,1,0.00189
80,F,2,2,0.00192
80,F,2,3,0.00183
81,DR,2,1,0.001616
81,DR,2,2,0.001516
81,DR,2,3,0.001446
83,DR,2,1,0.001712
83,DR,2,2,0.001584
83,DR,2,3,0.001377
84,DR,2,1,0.001464
84,DR,2,2,0.001397
85,DRO,2,1,0.001565
85,DRO,2,2,0.001593
85,DRO,2,3,0.001608
86,FO,2,1,0.00182
86,FO,2,2,0.001808
86,FO,2,3,0.001644
87,DR,2,1,0.00172
87,DR,2,2,0.001632
87,DR,2,3,0.001413
88,DRO,2,1,0.001844
88,DRO,2,2,0.001644
88,DRO,2,3,0.001773
89,F,2,1,0.001847
89,F,2,2,0.001722
89,F,2,3,0.001828
90,DRO,2,1,0.001804
90,DRO,2,2,0.001543
90,DRO,2,3,0.001502
91,F,2,1,0.001821
91,F,2,2,0.001723
91,F,2,3,0.001915
92,DRO,2,1,0.001768
92,DRO,2,2,0.001722
92,DRO,2,3,0.001621
93,F,2,1,0.001821
93,F,2,2,0.001955
93,F,2,3,0.001966
94,DRO,2,1,0.001416
94,DRO,2,2,0.001295
94,DRO,2,3,0.001551
95,FO,2,1,0.001821
95,FO,2,2,0.001651
95,FO,2,3,0.001655
96,F,2,1,0.001648
96,F,2,2,0.00155
96,F,2,3,0.001557
97,DR,2,1,0.001702
97,DR,2,2,0.001504
97,DR,2,3,0.00167
98,FO,2,1,0.001509
98,FO,2,2,0.001644
98,FO,2,3,0.00152
99,FO,2,1,0.001812
99,FO,2,2,0.001716
99,FO,2,3,0.001792
100,DR,2,1,0.001614
100,DR,2,2,0.001686
100,DR,2,3,0.001786
